danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.6223333333333333,0.854,-5.585,0.049466666666666666,0.06309666666666666,0.031466666666666664,0.459,0.25,126.019
0.6872,0.5779,-10.3617,0.03483,0.37117,0.0764006,0.17682,0.8291999999999999,126.3771
0.69175,0.7945,-5.6015,0.061275,0.08945,0.00781,0.157525,0.47850000000000004,126.73225
0.6639,0.6939,-5.0474000000000006,0.05655,0.110891,0.000432297,0.1567,0.5288,130.4993
0.671,0.4801,-10.6585,0.0606,0.438474,0.28439899999999996,0.16608,0.5624,117.74769999999998
0.7328749999999999,0.8534999999999999,-6.915625,0.0779625,0.02039808625,0.34575861125,0.1887625,0.538,137.47875
0.6604,0.7096,-6.899299999999999,0.07350999999999999,0.08193700000000001,0.0008102319999999999,0.15259,0.46290000000000003,103.92960000000001
0.43129999999999996,0.5504,-8.9519,0.03315,0.38076,0.043830948999999994,0.13918999999999998,0.24169999999999997,123.3135
0.745,0.638,-7.186,0.143,0.171,3.62e-05,0.145,0.284,125.976
0.6644,0.8343999999999999,-4.5464,0.06867999999999999,0.28744000000000003,0.00187264,0.2346,0.5671999999999999,122.04159999999999
0.5493333333333333,0.8293333333333334,-4.491666666666666,0.05206666666666667,0.09453333333333332,0.0008524000000000001,0.206,0.5083333333333333,107.34766666666667
0.53,0.651,-9.731,0.0423,0.0888,0.259,0.0831,0.306,194.151
0.6195,0.7445,-4.6114,0.07852,0.17046,1.6599e-05,0.1623,0.5835,109.14970000000001
0.47833333333333333,0.5801666666666666,-8.432666666666668,0.0342,0.508,2.8333333333333336e-07,0.31616666666666665,0.48266666666666663,124.493
0.734,0.47137,-9.6937,0.053500000000000006,0.6232,0.04376872,0.14277,0.49744,115.11089999999999
0.7691,0.42590000000000006,-12.3346,0.08621,0.015798,0.015191630000000001,0.18305,0.736,124.6342
0.4902,0.514,-11.4322,0.0681,0.3263627,0.2680236,0.16323000000000001,0.3713,154.2074
